Designator,Mid X,Mid Y,Layer,Rotation
C1,28.50, 2.40,Top,0.0
C2,40.20, 6.10,Top,90.0
C3,32.75,38.20,Top,0.0
C4,25.45,38.20,Top,180.0
C5,25.45,36.10,Top,180.0
C6,39.80,30.90,Top,180.0
C7,48.03,18.94,Top,0.0
C8,20.30,18.50,Top,0.0
C9,35.20, 6.10,Top,90.0
C10,45.20, 6.10,Top,90.0
C11,19.20,12.30,Top,0.0
C12,23.40,12.90,Top,180.0
C13,46.70,33.45,Top,270.0
C14,14.80,21.95,Top,0.0
C15,34.70,15.00,Top,180.0
C16,28.50, 9.00,Top,0.0
D1,50.68,25.39,Top,90.0
D2,41.80,15.00,Top,270.0
D3,14.80,31.10,Top,180.0
D4,14.80,27.90,Top,270.0
F1,14.00,10.00,Top,90.0
J1,41.94,35.50,Top,90.0
L1,24.80,16.80,Top,0.0
L2,22.50, 5.70,Top,90.0
Q1,50.67,28.54,Top,270.0
Q2,50.67,22.27,Top,270.0
Q3,15.10,14.85,Top,270.0
R1,46.97,23.22,Top,0.0
R2,14.80,25.90,Top,0.0
R3,43.00,30.90,Top,180.0
R4,46.40,12.50,Top,180.0
R5,13.15,17.80,Top,0.0
R6,51.30,10.90,Top,90.0
R7,54.90, 1.60,Top,180.0
R8,54.90,39.30,Top,0.0
R9,47.02,29.47,Top,0.0
R10,46.70,36.60,Top,270.0
R11,36.50,33.00,Top,180.0
R12,36.50,35.50,Top,180.0
R13,36.50,38.00,Top,180.0
R14,15.75,19.05,Top,270.0
R15,31.60, 7.80,Top,90.0
R16,38.40,12.60,Top,0.0
R17,34.70,12.60,Top,0.0
R18,31.60, 2.90,Top,90.0
R19,20.30,20.80,Top,180.0
R20,13.15,19.90,Top,0.0
R21,32.75,36.10,Top,180.0
U1,28.40, 5.90,Top,180.0
U2,46.00,15.80,Top,0.0
U3,27.40,29.20,Top,270.0
U4,50.20,35.90,Top,270.0
U5,50.20, 5.10,Top,270.0
U6,57.10, 5.10,Top,0.0
U7,57.10,35.90,Top,0.0
U8,19.65,15.01,Top,270.0
Y1,29.15,37.05,Top,180.0
