Comment,Designator,Footprint,LCSC Part #
0.02,R4,R1206,
1k5,R3 R13,R0603,
VLS5045EX-4R7M,L1,IND_VLS5045EX-4R7M,
6.8p,C3 C4,C0603,
10u 25V,C11 C16,C0603,CL10A106MA8NRNC,
13k,R17 R18 R20,R0603,
22u,C12 C13,C0603,
X1A0001410003,Y1,SMD3215-2P,
39k,R14 R16,R0603,
42.2k,R19,R0603,
CLF7045NIT-470M-D,L2,IND_CLF7045NIT-470M-D,
100k,R5 R11 R12 R21,R0603,
100n,C5 C6 C7 C8 C14 C15,C0603,
115k,R15,R0603,
T491X227K016AT,C2 C9 C10,SMC_D,
300,R1 R2 R6 R7 R8 R9 R10,R0603,
470n,C1,C0603,
AP63203WU-7,U8,SOT23-6,
BAV23CLT1G,D1,SOT23,
INA180A1IDBVR,U2,DBV5,
IRLML6344TRPBF,Q1 Q2,SOT23,
1812L050/30PR,F1,1812,C151168
PMV50EPEAR,Q3,SOT23,
PRTR5V0U2X,D3,SOT-143,
SGM61410XN6G(TOKMAS),U1,SOT-23-6_SNC,
SMAJ13A,D2,SMA,
SZYY0805B,D4,0805,C434433,
STM32G071KBT6,U3,QFP80P900X900X160-32N,
20021121-00010T4LF,J1,20021121-00010T4LF,
TLP268J,U4 U5 U6 U7,SOP254P675X240-4N,
